positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
嵌入式软件工程师,深圳市安思疆科技有限公司,50-150人,人工智能,B轮,开发|测试|运维类,硬件开发,嵌入式,"['嵌入式', 'Linux']",2020-09-02 15:28:12,深圳,南山区,,10k-20k,1-3年,全职,本科,扁平 双休 技术大咖多 福利好 机会多
后端开发工程师,北京磐沄科技有限公司,15-50人,"软件开发,区块链",A轮,开发|测试|运维类,后端开发,后端开发,"['云计算', 'Python', 'Shell', '区块链']",2020-09-02 15:27:36,北京,海淀区,,25k-50k,3-5年,全职,本科,年终奖 试用期全薪 双休 五险一金 扁平管理
后期制作剪辑,杭州八仙广告有限公司,50-150人,"移动互联网,企业服务",不需要融资,文娱|传媒|艺术|体育,影视|媒体,后期制作,[],2020-09-02 15:27:34,杭州,西湖区,,8k-10k,不限,全职,大专,双休法定 全勤 餐补 五险一金
AE/客户执行,广州趣米网络科技有限公司,150-500人,"移动互联网,企业服务",不需要融资,运营|编辑|客服类,运营,新媒体运营,"['广告营销', '新媒体运营', '用户运营', '内容运营']",2020-09-02 15:27:29,广州,天河区,"['元岗', '沙太南']",8k-12k,3-5年,全职,大专,"周末双休,带薪年假,五险一金,年度旅游"
中高级前端开发工程师,上海睿民互联网科技有限公司,500-2000人,"移动互联网,其他",上市公司,开发|测试|运维类,前端开发,WEB前端,"['大数据', 'Vue', 'Web前端']",2020-09-02 15:27:29,北京,顺义区,,10k-20k,3-5年,全职,本科,银行前端科技开发
跨境电商推广,九河信息技术（上海）有限公司,150-500人,电商,C轮,市场|商务类,渠道|推广,SEM,"['电商', 'SEM', '海外市场推广', '微信SEO', '海外SEO']",2020-09-02 15:27:23,上海,松江区,,15k-20k,1-3年,全职,本科,"期权分红,商业医疗,下午茶,老板nic"
前端开发工程师,上海文思海辉金信软件有限公司,2000人以上,"移动互联网,金融",不需要融资,开发|测试|运维类,前端开发,WEB前端,"['前端开发', 'Web前端', 'Vue', 'React']",2020-09-02 15:27:15,上海,,,12k-18k,3-5年,全职,本科,大项目 前沿技术 双休 加班少 六险一金
数学教研员（夜班）,易维（北京）文化有限公司,500-2000人,教育,A轮,教育|培训,教师,家教,[],2020-09-02 15:27:15,南京,秦淮区,,7k-9k,应届毕业生,全职,本科,做三休二
抖音主播,广州市无虑网络科技有限公司,15-50人,文娱丨内容,未融资,文娱|传媒|艺术|体育,影视|媒体,演员|模特|主持人,['直播'],2020-09-02 15:27:15,广州,,,15k-30k,不限,全职,不限,招募全素人主播，提供系统化培训
4K平面设计师助理,成都火影商务信息咨询有限公司,50-150人,"移动互联网,电商",上市公司,设计类,视觉,平面设计,"['移动互联网', '媒体', '画册', '电商美工', 'UI', '界面设计']",2020-09-02 15:27:15,成都,高新区,,4k-5k,不限,全职,不限,双休，早九晚六
引擎技术支持,网易（杭州）网络有限公司,2000人以上,电商,上市公司,开发|测试|运维类,运维,IT技术支持,['Python'],2020-09-02 15:27:13,广州,天河区,,15k-25k,1-3年,全职,本科,福利好，平台大，大牛多，16薪
区块链开发工程师,深圳市星际大陆科技有限公司,150-500人,"移动互联网,硬件",A轮,开发|测试|运维类,后端开发,区块链开发,"['云计算', '大数据', '后端', 'GO', 'Linux/Unix', 'C++']",2020-09-02 15:27:12,深圳,宝安区,,20k-40k,3-5年,全职,本科,海外项目，前景好，弹性工作，个性下午茶
图像编辑（修图师）,广州参数信息科技有限公司,15-50人,移动互联网,不需要融资,设计类,视觉,美工设计,"['本地生活', '移动互联网', '美工', '电商美工', 'PS']",2020-09-02 15:27:07,广州,越秀区,,4k-8k,1-3年,全职,不限,每周休息二天、五险一金、商业保险、
招聘专员,中科软科技股份有限公司,2000人以上,"信息安全,软件开发",上市公司,综合职能|高级管理,人力资源,招聘,"['HR', '招聘']",2020-09-02 15:27:05,深圳,,,5k-8k,1-3年,全职,大专,周末双休、六险一金、绩效奖金、年终奖、
播放器SDK研发工程师 (MJ000231),上海七牛信息技术有限公司,150-500人,"移动互联网,数据服务",D轮及以上,开发|测试|运维类,后端开发,C|C++,['音视频'],2020-09-02 15:27:05,杭州,,,25k-45k,5-10年,全职,本科,音视频
嵌入式软件工程师,深圳市安思疆科技有限公司,50-150人,人工智能,B轮,开发|测试|运维类,硬件开发,嵌入式,"['嵌入式', 'Linux']",2020-09-02 15:28:12,深圳,南山区,,10k-20k,1-3年,全职,本科,扁平 双休 技术大咖多 福利好 机会多
后端开发工程师,北京磐沄科技有限公司,15-50人,"软件开发,区块链",A轮,开发|测试|运维类,后端开发,后端开发,"['云计算', 'Python', 'Shell', '区块链']",2020-09-02 15:27:36,北京,海淀区,,25k-50k,3-5年,全职,本科,年终奖 试用期全薪 双休 五险一金 扁平管理
后期制作剪辑,杭州八仙广告有限公司,50-150人,"移动互联网,企业服务",不需要融资,文娱|传媒|艺术|体育,影视|媒体,后期制作,[],2020-09-02 15:27:34,杭州,西湖区,,8k-10k,不限,全职,大专,双休法定 全勤 餐补 五险一金
AE/客户执行,广州趣米网络科技有限公司,150-500人,"移动互联网,企业服务",不需要融资,运营|编辑|客服类,运营,新媒体运营,"['广告营销', '新媒体运营', '用户运营', '内容运营']",2020-09-02 15:27:29,广州,天河区,"['元岗', '沙太南']",8k-12k,3-5年,全职,大专,"周末双休,带薪年假,五险一金,年度旅游"
中高级前端开发工程师,上海睿民互联网科技有限公司,500-2000人,"移动互联网,其他",上市公司,开发|测试|运维类,前端开发,WEB前端,"['大数据', 'Vue', 'Web前端']",2020-09-02 15:27:29,北京,顺义区,,10k-20k,3-5年,全职,本科,银行前端科技开发
电商APP运营主管,九河信息技术（上海）有限公司,150-500人,电商,C轮,运营|编辑|客服类,运营,电商运营,"['电商', '运营', '用户留存', '活动策划']",2020-09-02 15:27:23,上海,松江区,,10k-16k,3-5年,全职,本科,全品类运营，晋升空间大
java开发工程师,成都天府通金融服务股份有限公司,50-150人,"移动互联网,金融",不需要融资,开发|测试|运维类,后端开发,Java,['Java'],2020-09-02 15:27:20,成都,,,12k-18k,5-10年,全职,本科,大平台 高并发
前端开发工程师,上海文思海辉金信软件有限公司,2000人以上,"移动互联网,金融",不需要融资,开发|测试|运维类,前端开发,WEB前端,"['前端开发', 'Web前端', 'Vue', 'React']",2020-09-02 15:27:15,上海,,,12k-18k,3-5年,全职,本科,大项目 前沿技术 双休 加班少 六险一金
数学教研员（夜班）,易维（北京）文化有限公司,500-2000人,教育,A轮,教育|培训,教师,家教,[],2020-09-02 15:27:15,南京,秦淮区,,7k-9k,应届毕业生,全职,本科,做三休二
